"word","freq"
"can t wait to",7239
"thanks for the follow",6223
"i m going to",4740
"i don t know",3944
"thanks for the rt",3413
"i can t wait",3120
"thank you for the",3040
"can t wait for",2992
"t wait to see",2699
"i don t think",2513
"is going to be",2280
"thank you so much",2277
"don t want to",2226
"if you don t",2058
"i don t have",2002
"going to be a",1778
"i don t want",1695
"for the first time",1673
"happy mother s day",1566
"have a great day",1480
"the end of the",1459
"hope to see you",1446
"don t forget to",1441
"don t know what",1437
"the rest of the",1436
"i wish i could",1402
"s going to be",1394
"it s going to",1380
"if you want to",1358
"i don t like",1311
"on my way to",1303
"i can t believe",1300
"don t have to",1293
"have a great weekend",1287
"thanks so much for",1274
"are you going to",1244
"i think it s",1230
"thanks for the mention",1208
"one of the best",1200
"but i don t",1191
"i think i m",1184
"that s what i",1171
"i feel like i",1162
"at the same time",1155
"you don t have",1154
"at the end of",1152
"let me know if",1121
"thanks for the ff",1110
"i don t even",1081
"had a great time",1056
"i d like to",1055
"i would love to",1043
"that awkward moment when",1036
"hope you have a",1030
"so much for the",1029
"i don t care",1013
"it s time to",1011
"i m not sure",1006
"i d love to",995
"i didn t know",982
"i just want to",969
"one of my favorite",960
"i am going to",959
"in the middle of",959
"what do you think",940
"looking forward to the",939
"i m pretty sure",930
"it s been a",916
"i m trying to",914
"don t know how",909
"i m about to",909
"you don t know",880
"for the shout out",869
"hope all is well",868
"wait to see you",864
"i don t get",862
"is one of the",859
"and i don t",856
"you so much for",853
"don t think i",848
"do you have a",844
"thanks for the shout",840
"don t have a",836
"to go to the",832
"thank you for your",821
"what are you doing",821
"t wait for the",804
"you re going to",804
"looking forward to seeing",800
"i wish i was",787
"looking forward to it",781
"i m not a",778
"i want to be",773
"me know if you",763
"it s gonna be",755
"you have a great",755
"can i get a",747
"i ll be there",746
"i love you so",741
"i thought it was",738
"but i can t",736
"i need to get",721
"thanks for the retweet",719
"i ll have to",718
"i know it s",715
"when it comes to",714
"what s going on",712
"that s why i",711
"what s your favorite",709
"i know i m",708
"love you so much",705
"for the rest of",700
"i wish i had",694
"i look forward to",691
"thank you for following",690
"don t even know",689
"want to go to",684
"i would like to",679
"happy mothers day to",678
"i m so excited",678
"i don t wanna",677
"i just don t",676
"thanks for following me",674
"mother s day to",673
"hope you had a",668
"don t know if",666
"i haven t been",662
"i have no idea",660
"nice to meet you",656
"let us know if",655
"i want to go",654
"feel like i m",638
"t wait to get",634
"and i can t",626
"awkward moment when you",622
"did you know that",620
"to be able to",618
"if you haven t",616
"if you can t",612
"we d love to",612
"you for the follow",610
"would love to see",606
"it s hard to",605
"one of the most",604
"i can t even",599
"i m in the",592
"i really don t",592
"forward to seeing you",591
"we re going to",589
"i don t understand",585
"i was going to",570
"i won t be",569
"don t know why",564
"thanks for all the",562
"you don t want",561
"do you want to",559
"keep up the good",559
"as much as i",556
"but i m not",556
"can t believe i",550
"it s a good",550
"if i don t",543
"on the way to",543
"great to see you",540
"i miss you too",539
"day to all the",537
"it s a great",537
"up the good work",533
"i ll be in",532
"the best way to",529
"to get out of",529
"i haven t seen",525
"thanks to everyone who",525
"s day to all",524
"i didn t get",522
"i love you too",521
"i want to see",520
"t wait to hear",520
"it s time for",519
"makes me want to",518
"can t wait till",509
"let me know when",509
"thanks for the support",509
"trying to figure out",505
"i m glad you",504
"be a part of",500
"for the follow i",498
"we can t wait",498
"if you re not",496
"i don t need",495
"i don t see",493
"i m ready to",493
"i can t get",487
"a lot of people",485
"am i the only",485
"would you like to",485
"i really want to",481
"if you have a",481
"you please follow me",480
"it s all about",479
"that s a good",477
"have a lot of",475
"m going to be",475
"thank you to all",474
"that i don t",474
"the first time in",473
"looking forward to your",470
"what is your favorite",468
"i ve ever seen",466
"thank you very much",466
"we look forward to",463
"this is going to",459
"i just can t",456
"the only one who",452
"in a long time",451
"you don t like",450
"don t get it",449
"t know how to",449
"i m sure you",448
"to go back to",447
"i have to go",444
"you for the rt",443
"i can t stand",442
"the middle of the",442
"i m not going",440
"what s up with",437
"i m looking forward",434
"just got back from",434
"let me know what",434
"please follow me i",434
"a chance to win",433
"i didn t even",430
"we are going to",430
"i m so glad",428
"if you have any",428
"thanks for following us",428
"you want to be",428
"as soon as i",426
"happy birthday to my",425
"have to go to",425
"i didn t have",424
"a great way to",422
"haven t been on",422
"to see you there",422
"going to have to",420
"i m so happy",420
"us know if you",420
"have a good day",419
"you had a great",419
"m looking forward to",417
"can t wait until",416
"so proud of you",416
"we don t have",416
"good to see you",414
"i hate it when",412
"know what you think",412
"looking forward to a",412
"i want to do",409
"stuck in my head",409
"i can t stop",407
"so i don t",403
"st patrick s day",402
"cant wait to see",400
"hope you re having",400
"ll let you know",400
"s gonna be a",400
"i need to go",399
"it s a beautiful",398
"i m working on",397
"are going to be",395
"i m looking for",395
"thank you for all",395
"you know you re",394
"as long as you",393
"great to meet you",393
"look forward to seeing",392
"it was a great",391
"i m in love",390
"i m ready for",390
"i think i ll",389
"know what to do",389
"for a chance to",388
"by the end of",385
"i thought i was",385
"you re having a",385
"and i m not",384
"have no idea what",383
"to be a great",383
"i ll let you",381
"to see you at",380
"do you have any",379
"i love it when",378
"i ve got a",378
"how have you been",376
"don t give a",375
"i hope you have",375
"i m in a",374
"to be a good",374
"it s not a",372
"i hate when people",370
"wish i could be",370
"i feel like a",368
"i really need to",368
"i can t find",367
