"word","freq"
"can t wait to see",2654
"i can t wait to",1454
"i don t want to",1111
"it s going to be",1097
"thank you so much for",835
"can t wait for the",775
"i don t know what",766
"let me know if you",746
"thanks for the shout out",716
"t wait to see you",709
"happy mother s day to",652
"at the end of the",644
"i don t think i",641
"i can t wait for",625
"thanks so much for the",620
"can t wait to get",612
"s going to be a",601
"thank you for the follow",600
"i love you so much",553
"is going to be a",546
"you don t have to",531
"can t wait to hear",513
"keep up the good work",513
"hope you have a great",479
"that awkward moment when you",479
"i m going to be",465
"thank you for the rt",438
"i don t have to",436
"i don t know if",434
"for the first time in",430
"i feel like i m",429
"i don t know how",427
"let us know if you",423
"mother s day to all",423
"i m looking forward to",420
"i don t even know",417
"i don t know why",405
"thanks for the follow i",399
"in the middle of the",392
"for the rest of the",383
"this is going to be",372
"don t know how to",366
"i don t have a",362
"am i the only one",360
"happy mothers day to all",358
"you don t want to",352
"for a chance to win",350
"to be a part of",326
"i ll let you know",323
"i m not going to",321
"don t know what to",320
"hope to see you there",320
"thanks for the heads up",320
"hope you re having a",317
"hope you had a great",316
"going to be a great",312
"is it just me or",312
"looking forward to seeing you",311
"it s gonna be a",306
"t wait to see the",304
"think i m going to",304
"the end of the day",301
"you so much for the",296
"that s what i m",295
"i can t believe i",287
"don t want to be",277
"i just finished a mi",274
"we can t wait to",273
"just finished a mi run",272
"finished a mi run with",269
"i think i m going",267
"let me know when you",266
"s day to all the",263
"to everyone who came out",263
"keep up the great work",260
"let me know what you",257
"look forward to seeing you",257
"thanks for the follow and",257
"can t wait to go",255
"i hope you have a",255
"you have a great day",254
"don t know if i",251
"i m in love with",251
"i want to go to",251
"thanks to everyone who came",244
"it s a beautiful day",241
"let us know what you",239
"going to be a good",238
"i have no idea what",238
"by the end of the",234
"if you don t like",234
"won t be able to",233
"had a great time at",225
"if you don t have",221
"don t know what i",218
"i haven t been on",218
"i m pretty sure i",218
"the rest of the day",218
"i m going to have",217
"i m not the only",216
"if you re going to",216
"t wait to see what",216
"thanks for the kind words",215
