"word","freq"
"i m",127737
"it s",83098
"in the",78204
"don t",75405
"for the",73876
"of the",56853
"on the",48394
"to be",46879
"can t",45381
"to the",43349
"thanks for",42730
"if you",38440
"you re",37209
"at the",37170
"i love",35427
"that s",34584
"going to",34179
"have a",33549
"i can",33414
"thank you",32880
"i have",31192
"for a",29640
"i am",29366
"and i",28398
"i ll",27396
"to get",26969
"to see",26868
"is a",26729
"will be",25692
"i was",25256
"want to",25000
"i think",24694
"but i",24409
"i don",24257
"is the",24037
"a great",23717
"in a",23202
"i just",23193
"are you",23118
"you are",23101
"have to",22135
"i ve",21811
"need to",20566
"it was",20533
"you can",20271
"do you",19566
"i know",19516
"you have",18896
"the best",18871
"with the",18490
"all the",18422
"so much",18022
"s a",17894
"didn t",17867
"to do",17787
"a good",17676
"to go",17575
"it is",17344
"in my",16901
"be a",16890
"we re",16887
"on my",16761
"when i",16345
"right now",15988
"when you",15841
"of my",15690
"i will",15584
"one of",15492
"you know",15488
"out of",15352
"this is",15237
"love you",15199
"i need",15093
"i want",15017
"what s",14948
"we are",14918
"like a",14916
"and the",14905
"t wait",14755
"that i",14382
"if i",14259
"with a",13873
"go to",13834
"on a",13479
"see you",13257
"had a",13074
"so i",12860
"doesn t",12853
"let s",12724
"the same",12674
"he s",12593
"of a",12146
"ll be",12087
"from the",12015
"a lot",11999
"follow me",11977
"last night",11784
"for you",11691
"forward to",11628
"was a",11349
"i would",11290
"would be",11241
"to my",11211
"i got",11182
"to make",11142
"to have",11131
"the world",11068
"trying to",11032
"i hope",11017
"to me",10961
"to you",10869
"s the",10826
"time to",10739
"i d",10719
"what you",10666
"way to",10655
"you for",10562
"i hate",10516
"back to",10438
"a new",10434
"i get",10302
"did you",10270
"to a",10177
"the new",10141
"for me",10123
"with my",10123
"hope you",9980
"get a",9943
"i had",9939
"we have",9803
"there s",9782
"that is",9755
"t know",9754
"i like",9729
"the first",9681
"i feel",9666
"what i",9644
"m not",9610
"a little",9577
"about the",9525
"you guys",9421
"and a",9266
"the day",9234
"i could",9166
"wait to",9165
"should be",9084
"we can",9051
"is it",8914
"t have",8914
"isn t",8904
"looking forward",8904
"think i",8857
"is not",8854
"as a",8843
"a few",8735
"we ll",8639
"haven t",8629
"for my",8608
"i do",8585
"won t",8576
"check out",8545
"i wish",8528
"s not",8503
"all of",8465
"happy birthday",8316
"the follow",8308
"with you",8235
"they are",8208
"me to",8132
"in your",8062
"the only",8053
"you want",8047
"that you",8045
"by the",8032
"do it",8025
"the way",8011
"you and",8009
"you don",7981
"let me",7955
"for your",7949
"to all",7938
"me i",7856
"ve been",7852
"there is",7842
"to hear",7784
"got a",7767
"good morning",7751
"you to",7749
"know what",7728
"i miss",7686
"and you",7677
"this weekend",7659
"now i",7626
"they re",7619
"be the",7604
"this week",7581
